policy,task_id,workload,seed,actions,success,expected_success,cost,latency_s,retries,route_valid,within_cost_budget,within_latency_budget,confidence,rationale,failure_mode
adaptive,data_analysis-000,data_analysis,0,execute_code|answer,True,0.8518080990934053,2.0,14.0,0,True,True,True,0.7034113563865355,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-001,data_analysis,0,execute_code|verify|answer,True,0.8947186614243627,2.916,20.52,0,True,True,True,0.8009780937230986,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-002,data_analysis,0,decompose|execute_code|answer,False,0.7424772133750921,2.958,20.3,0,True,True,True,0.6552400093816362,task-level needs with budgeted composition and recovery,task_failure
adaptive,data_analysis-003,data_analysis,0,execute_code|use_tool|answer,True,0.7708720198797848,3.844,27.28,0,True,True,True,0.7674851889559076,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-004,data_analysis,0,execute_code|answer,True,0.9025902235091713,2.0,14.0,0,True,True,True,0.8500679505480249,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-005,data_analysis,0,verify|answer,True,0.674279757085557,1.458,9.72,0,True,True,True,0.7807374049901777,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-006,data_analysis,0,execute_code|verify|answer,True,0.7996102956886328,3.132,22.04,0,True,True,True,0.7607699575638934,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-007,data_analysis,0,decompose|execute_code|verify|answer,True,0.7287890508923689,4.03,27.9,0,True,True,True,0.7012187583827068,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-008,data_analysis,0,verify|answer,True,0.7686195022744436,1.35,9.0,0,True,True,True,0.7506165600652376,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-009,data_analysis,0,execute_code|answer,True,0.6756646924688912,2.754,20.52,1,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-010,data_analysis,0,decompose|execute_code|verify|answer,True,0.8815166721882314,3.77,26.1,0,True,True,True,0.7360412445964896,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-011,data_analysis,0,decompose|execute_code|verify|answer,True,0.8230750346143678,4.03,27.9,0,True,True,True,0.8378637077857287,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-012,data_analysis,0,execute_code|verify|answer,True,0.9570326715469409,2.7,19.0,0,True,True,True,0.7348889835273479,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-013,data_analysis,0,execute_code|answer,False,0.7694625169413056,2.16,15.12,0,True,True,True,0.7190334157740003,task-level needs with budgeted composition and recovery,task_failure
adaptive,data_analysis-014,data_analysis,0,decompose|execute_code|verify|answer,True,0.8076231980350416,3.77,26.1,0,True,True,True,0.6713979485699589,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-015,data_analysis,0,execute_code|verify|answer,True,0.7356710017418828,3.348,23.56,0,True,True,True,0.8623065144586057,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-016,data_analysis,0,execute_code|answer,True,0.8065288006575806,2.0,14.0,0,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-017,data_analysis,0,execute_code|verify|answer,True,0.8634344989486842,2.916,20.52,0,True,True,True,0.7775471222917496,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-018,data_analysis,0,execute_code|answer,True,0.6450573158415923,2.32,16.24,0,True,True,True,0.6907330700131642,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-019,data_analysis,0,execute_code|verify|answer,True,0.6235135606327269,3.348,23.56,0,True,True,True,0.6811681339121595,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-020,data_analysis,0,verify|answer,True,0.736729715975377,1.35,9.0,0,True,True,True,0.663427502462449,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-021,data_analysis,0,verify|answer,True,0.6436271125383312,1.458,9.72,0,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-022,data_analysis,0,decompose|execute_code|answer,True,0.848673311334824,2.958,20.3,0,True,True,True,0.8251020488109699,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-023,data_analysis,0,decompose|execute_code|verify|answer,True,0.8153140763353719,4.03,27.9,0,True,True,True,0.8144256207954612,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-024,data_analysis,0,verify|answer,True,0.7558170470245686,1.35,9.0,0,True,True,True,0.6914974963237952,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-025,data_analysis,0,execute_code|answer,False,0.7081766389217868,2.16,15.12,0,True,True,True,0.0,task-level needs with budgeted composition and recovery,task_failure
adaptive,data_analysis-026,data_analysis,0,execute_code|verify|answer,True,0.6854690098416603,3.132,22.04,0,True,True,True,0.5658875725946887,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-027,data_analysis,0,execute_code|verify|answer,True,0.7895176287934121,3.348,23.56,0,True,True,True,0.9274846539101258,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-028,data_analysis,0,verify|answer,True,0.7572474201547623,1.35,9.0,0,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-029,data_analysis,0,execute_code|answer,True,0.82124054819421,2.16,15.12,0,True,True,True,0.9632277258238342,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-030,data_analysis,0,execute_code|verify|answer,True,0.7301763505232064,3.77,27.84,1,True,True,True,0.7440865486568038,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-031,data_analysis,0,decompose|execute_code|delegate|answer,True,0.7537309367037736,5.208,37.82,0,True,True,True,0.6863961120087169,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-032,data_analysis,0,execute_code|answer,True,0.8326463107389714,2.0,14.0,0,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-033,data_analysis,0,execute_code|answer,True,0.8150119429898136,2.16,15.12,0,True,True,True,0.8926240259967522,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-034,data_analysis,0,execute_code|verify|answer,True,0.8375112000865723,3.132,22.04,0,True,True,True,0.8806887028725165,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-035,data_analysis,0,execute_code|use_tool|verify|answer,False,0.8362393758580535,4.712,33.48,0,True,True,True,0.7686127233482646,task-level needs with budgeted composition and recovery,task_failure
adaptive,data_analysis-036,data_analysis,0,execute_code|answer,True,0.9120168033640258,2.0,14.0,0,True,True,True,0.9280993103503614,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-037,data_analysis,0,verify|answer,True,0.6472550811025517,1.458,9.72,0,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-038,data_analysis,0,execute_code|answer,True,0.6604105243791994,2.32,16.24,0,True,True,True,0.6915503531333334,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-039,data_analysis,0,decompose|execute_code|verify|answer,True,0.8718690757574571,4.03,27.9,0,True,True,True,0.8527968798314483,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-040,data_analysis,0,execute_code|answer,True,0.7719407304040469,2.55,19.0,1,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-041,data_analysis,0,execute_code|verify|answer,True,0.8517113673687937,2.916,20.52,0,True,True,True,0.7196054075724176,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-042,data_analysis,0,execute_code|verify|answer,True,0.7114258648186845,3.132,22.04,0,True,True,True,0.6547010547501909,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-043,data_analysis,0,decompose|execute_code|verify|answer,True,0.863910451725121,4.03,27.9,0,True,True,True,0.8534713653371447,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-044,data_analysis,0,verify|answer,True,0.7613197513958483,1.35,9.0,0,True,True,True,0.777056058034,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-045,data_analysis,0,execute_code|answer,True,0.7800601971213954,2.16,15.12,0,True,True,True,0.843201848172727,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-046,data_analysis,0,execute_code|verify|answer,False,0.7864694373078108,3.132,22.04,0,True,True,True,0.7605104962158304,task-level needs with budgeted composition and recovery,task_failure
adaptive,data_analysis-047,data_analysis,0,decompose|execute_code|verify|answer,True,0.7219942243919352,4.03,27.9,0,True,True,True,0.6924136632329457,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-048,data_analysis,0,execute_code|answer,True,0.8471865241722396,2.0,14.0,0,True,True,True,0.7279314198201341,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-049,data_analysis,0,execute_code|verify|answer,False,0.8428785083348731,2.916,20.52,0,True,True,True,0.6749601219206933,task-level needs with budgeted composition and recovery,task_failure
adaptive,data_analysis-050,data_analysis,0,execute_code|verify|answer,True,0.7536173253315082,3.132,22.04,0,True,True,True,0.6787728397544011,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-051,data_analysis,0,execute_code|delegate|verify|answer,True,0.8072173381405354,5.394,39.68,0,True,True,True,0.7791633809277112,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-052,data_analysis,0,verify|answer,True,0.7317186585973108,1.35,9.0,0,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-053,data_analysis,0,execute_code|answer,True,0.7755008017604406,2.16,15.12,0,True,True,True,0.7993252528065697,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-054,data_analysis,0,decompose|execute_code|verify|answer,True,0.5578244181853029,4.408,31.9,1,True,True,True,0.7343433776343731,task-level needs with budgeted composition and recovery,execute_code_failure
adaptive,data_analysis-055,data_analysis,0,decompose|execute_code|verify|answer,True,0.859979067385472,4.03,27.9,0,True,True,True,0.8596768899541235,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-056,data_analysis,0,execute_code|verify|answer,True,0.98,2.7,19.0,0,True,True,True,0.838054085879882,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-057,data_analysis,0,execute_code|answer,True,0.7365435966124027,2.16,15.12,0,True,True,True,0.6743439752653727,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-058,data_analysis,0,execute_code|answer,True,0.731027442790957,2.32,16.24,0,True,True,True,0.9518144778661556,task-level needs with budgeted composition and recovery,
adaptive,data_analysis-059,data_analysis,0,execute_code|use_tool|verify|answer,True,0.8718712510401891,4.712,33.48,0,True,True,True,0.8298096253580592,task-level needs with budgeted composition and recovery,
adaptive,research-000,research,0,decompose|use_tool|verify|answer,True,0.98,3.0,20.5,0,True,True,True,0.7350818276841117,task-level needs with budgeted composition and recovery,
adaptive,research-001,research,0,decompose|use_tool|verify|answer,True,0.98,3.24,22.14,0,True,True,True,0.860340514903091,task-level needs with budgeted composition and recovery,
adaptive,research-002,research,0,decompose|use_tool|delegate|answer,True,0.9589933094199427,4.582,33.06,0,True,True,True,0.867628772774998,task-level needs with budgeted composition and recovery,
adaptive,research-003,research,0,use_tool|delegate|verify|answer,True,0.7695957160750987,5.084,37.2,0,True,True,True,0.7616578904311155,task-level needs with budgeted composition and recovery,
adaptive,research-004,research,0,use_tool|answer,True,0.8266160117086969,1.75,12.0,0,True,True,True,0.7238609459335545,task-level needs with budgeted composition and recovery,
adaptive,research-005,research,0,use_tool|delegate|answer,True,0.9083245853954618,3.672,27.0,0,True,True,True,0.8224391955480527,task-level needs with budgeted composition and recovery,
adaptive,research-006,research,0,delegate|use_tool|verify|answer,True,0.8308091080238792,5.394,40.6,1,True,True,True,0.8281338415159368,task-level needs with budgeted composition and recovery,
adaptive,research-007,research,0,decompose|use_tool|delegate|answer,True,0.7460165866030839,4.898,35.34,0,True,True,True,0.7168620048664988,task-level needs with budgeted composition and recovery,
adaptive,research-008,research,0,use_tool|answer,True,0.8732872090908288,1.75,12.0,0,True,True,True,0.8686621082737425,task-level needs with budgeted composition and recovery,
adaptive,research-009,research,0,verify|answer,True,0.6995098176744783,1.458,9.72,0,True,True,True,0.8750166119869472,task-level needs with budgeted composition and recovery,
adaptive,research-010,research,0,decompose|use_tool|verify|answer,True,0.9350331476818741,3.48,23.78,0,True,True,True,0.8588578525531482,task-level needs with budgeted composition and recovery,
adaptive,research-011,research,0,decompose|delegate|verify|answer,True,0.7990954799347536,4.402,31.62,0,True,True,True,0.8827794500598153,task-level needs with budgeted composition and recovery,
adaptive,research-012,research,0,decompose|answer,False,0.782601814248219,1.2,7.5,0,True,True,True,0.6601575852376182,task-level needs with budgeted composition and recovery,task_failure
adaptive,research-013,research,0,decompose|answer,True,0.7034976460723331,1.296,8.1,0,True,True,True,0.7991461262930495,task-level needs with budgeted composition and recovery,
adaptive,research-014,research,0,decompose|use_tool|verify|answer,True,0.9554755200835002,3.48,23.78,0,True,True,True,0.8820796006089106,task-level needs with budgeted composition and recovery,
adaptive,research-015,research,0,decompose|use_tool|verify|answer,True,0.8196909096410283,3.72,25.42,0,True,True,True,0.8459912369008235,task-level needs with budgeted composition and recovery,
adaptive,research-016,research,0,use_tool|answer,True,0.8388470282946482,1.75,12.0,0,True,True,True,0.7990146875626214,task-level needs with budgeted composition and recovery,
adaptive,research-017,research,0,use_tool|verify|answer,True,0.8847787159726948,2.646,18.36,0,True,True,True,0.7995142295490185,task-level needs with budgeted composition and recovery,
adaptive,research-018,research,0,decompose|use_tool|verify|answer,True,0.8628794568844185,4.118,29.58,1,True,True,True,0.816102236992467,task-level needs with budgeted composition and recovery,
adaptive,research-019,research,0,use_tool|delegate|verify|answer,False,0.7277278091241287,5.766,43.4,1,True,True,True,0.7879123856019602,task-level needs with budgeted composition and recovery,task_failure
adaptive,research-020,research,0,decompose|use_tool|answer,True,0.98,2.3,15.5,0,True,True,True,0.8364745300844094,task-level needs with budgeted composition and recovery,
adaptive,research-021,research,0,delegate|answer,True,0.6761232099955251,2.484,18.36,0,True,True,True,0.6647180416173095,task-level needs with budgeted composition and recovery,
adaptive,research-022,research,0,decompose|use_tool|verify|answer,True,0.8147651096134498,3.48,23.78,0,True,True,True,0.7115648343558615,task-level needs with budgeted composition and recovery,
adaptive,research-023,research,0,decompose|use_tool|answer,False,0.7327715521590967,2.852,19.22,0,True,True,True,0.8694828273629243,task-level needs with budgeted composition and recovery,task_failure
adaptive,research-024,research,0,decompose|answer,True,0.7354668897476103,1.2,7.5,0,True,True,True,0.0,task-level needs with budgeted composition and recovery,
adaptive,research-025,research,0,use_tool|answer,True,0.7698888435796226,1.89,12.96,0,True,True,True,0.8287169400887662,task-level needs with budgeted composition and recovery,
adaptive,research-026,research,0,decompose|use_tool|verify|answer,True,0.7807973873855673,3.48,23.78,0,True,True,True,0.6495527216217694,task-level needs with budgeted composition and recovery,
adaptive,research-027,research,0,decompose|use_tool|verify|answer,True,0.8166606638902453,3.72,25.42,0,True,True,True,0.8164739895983174,task-level needs with budgeted composition and recovery,
adaptive,research-028,research,0,use_tool|delegate|verify|answer,True,0.98,4.1,30.0,0,True,True,True,0.7730184427992509,task-level needs with budgeted composition and recovery,
adaptive,research-029,research,0,verify|answer,True,0.6785298092453372,1.458,9.72,0,True,True,True,0.8241301746928444,task-level needs with budgeted composition and recovery,
adaptive,research-030,research,0,use_tool|delegate|verify|answer,False,0.8067659858375752,4.756,34.8,0,True,True,True,0.7029681087234851,task-level needs with budgeted composition and recovery,task_failure
adaptive,research-031,research,0,decompose|use_tool|delegate|answer,True,0.6850577301678767,5.58,41.54,1,True,True,True,0.6578824753362723,task-level needs with budgeted composition and recovery,
adaptive,research-032,research,0,verify|answer,True,0.7436685700642048,1.35,9.0,0,True,True,True,0.6685282639126178,task-level needs with budgeted composition and recovery,
adaptive,research-033,research,0,use_tool|answer,False,0.740139561321395,1.89,12.96,0,True,True,True,0.7237986070529001,task-level needs with budgeted composition and recovery,task_failure
